book,testament,category
Genesis,Old Testament,Law
Exodus,Old Testament,Law
Leviticus,Old Testament,Law
Numbers,Old Testament,Law
Deuteronomy,Old Testament,Law
Joshua,Old Testament,History
Judges,Old Testament,History
Ruth,Old Testament,History
1 Samuel,Old Testament,History
2 Samuel,Old Testament,History
1 Kings,Old Testament,History
2 Kings,Old Testament,History
1 Chronicles,Old Testament,History
2 Chronicles,Old Testament,History
Ezra,Old Testament,History
Nehemiah,Old Testament,History
Esther,Old Testament,History
Job,Old Testament,Poetry
Psalms,Old Testament,Poetry
Proverbs,Old Testament,Wisdom
Ecclesiastes,Old Testament,Wisdom
Song of Solomon,Old Testament,Poetry
Isaiah,Old Testament,Prophecy
Jeremiah,Old Testament,Prophecy
Lamentations,Old Testament,Prophecy
Ezekiel,Old Testament,Prophecy
Daniel,Old Testament,Prophecy
Hosea,Old Testament,Prophecy
Joel,Old Testament,Prophecy
Amos,Old Testament,Prophecy
Obadiah,Old Testament,Prophecy
Jonah,Old Testament,Prophecy
Micah,Old Testament,Prophecy
Nahum,Old Testament,Prophecy
Habakkuk,Old Testament,Prophecy
Zephaniah,Old Testament,Prophecy
Haggai,Old Testament,Prophecy
Zechariah,Old Testament,Prophecy
Malachi,Old Testament,Prophecy
1 Enoch,Intertestamental,Apocalyptic
Matthew,New Testament,Gospel
Mark,New Testament,Gospel
Luke,New Testament,Gospel
John,New Testament,Gospel
Acts,New Testament,History
Romans,New Testament,Epistle
1 Corinthians,New Testament,Epistle
2 Corinthians,New Testament,Epistle
Galatians,New Testament,Epistle
Ephesians,New Testament,Epistle
Philippians,New Testament,Epistle
Colossians,New Testament,Epistle
1 Thessalonians,New Testament,Epistle
2 Thessalonians,New Testament,Epistle
1 Timothy,New Testament,Epistle
2 Timothy,New Testament,Epistle
Titus,New Testament,Epistle
Philemon,New Testament,Epistle
Hebrews,New Testament,Epistle
James,New Testament,Epistle
1 Peter,New Testament,Epistle
2 Peter,New Testament,Epistle
1 John,New Testament,Epistle
2 John,New Testament,Epistle
3 John,New Testament,Epistle
Jude,New Testament,Epistle
Revelation,New Testament,Apocalyptic
